title,authors,narrators
"Out of the Dark: An Orphan X Novel (Evan Smoak, Book 4)",['Gregg Hurwitz'],['Scott Brick']
"Blowout: Corrupted Democracy, Rogue State Russia, and the Richest, Most Destructive Industry on Earth",['Rachel Maddow'],['Rachel Maddow']
The Quantum Spy,['David Ignatius'],['Edoardo Ballerini']
The Land of Flickering Lights: Restoring America in an Age of Broken Politics,['Michael Bennet'],['Michael Bennet']
Body of Proof: An Audible Original,"['Darrell Brown', 'Sophie Ellis']","['Darrell Brown', 'Sophie Ellis']"
"A Better Man: A Chief Inspector Gamache Novel: Chief Inspector Gamache/Three Pines Series, Book 15",['Louise Penny'],['Robert Bathurst']
Snow White Must Die,['Nele Neuhaus'],['Robert Fass']
In the Woods: A Novel,['Tana French'],['Steven Crossley']
For the Love of Mike,['Rhys Bowen'],['Nicola Barber']
Bring the War Home: The White Power Movement and Paramilitary America,['Kathleen Belew'],['Jo Anna Perrin']
Christmas at The Grange: A Lady Hardcastle Mystery,['T E Kinsey'],['Elizabeth Knowelden']
Lethal White: A Cormoran Strike Novel,['Robert Galbraith'],['Robert Glenister']
The Dead Drink First,['Dale Maharidge'],['Dale Maharidge']
The Mueller Report: The Findings of the Special Counsel Investigation,"['Robert S. Mueller III', ""Special Counsel's Office U.S. Department of Justice""]","['Marc Vietor', 'Mark Boyett', 'Victor Bevine']"
The Higgs Boson and Beyond,"['Sean Carroll', 'The Great Courses']",['Sean Carroll']
Mysteries of Modern Physics: Time,"['Sean Carroll', 'The Great Courses']",['Sean Carroll']
"The Burning Issue of the Day: A Lady Hardcastle Mystery, Book 5",['T E Kinsey'],['Elizabeth Knowelden']
"Morning Meditations for Daily Magic: Audio-guided meditation classes, refreshed weekly starting in February 2019",['MoveWith'],['Jeremy Falk']
Watchers,['Dean Koontz'],"['Edoardo Ballerini', 'Dean Koontz']"
The Good Daughter: A Novel,['Karin Slaughter'],['Kathleen Early']
Spying on the South: An Odyssey Across the American Divide,['Tony Horwitz'],"['Mark Deakins', 'Tony Horwitz']"
"Doing Justice: A Prosecutor's Thoughts on Crime, Punishment, and the Rule of Law",['Preet Bharara'],['Preet Bharara']
"A Picture of Murder: A Lady Hardcastle Mystery, Book 4",['T E Kinsey'],['Elizabeth Knowelden']
"Stillhouse Lake: Stillhouse Lake, Book 1",['Rachel Caine'],['Emily Sutton-Smith']
"Murder in Park Lane: The Detective Lavender Mysteries, Book 5",['Karen Charlton'],['Michael Page']
"The Body in the Dales: A Yorkshire Murder Mystery, Book 1",['J. R. Ellis'],['Michael Page']
"Edinburgh Dusk: Ian Hamilton Mysteries, Book 2",['Carole Lawrence'],['Simon Mattacks']
Murder in an Irish Pub,"[""Carlene O'Connor""]",['Caroline Lennon']
The Four Horsemen: The Conversation That Sparked an Atheist Revolution,"['Christopher Hitchens', 'Richard Dawkins', 'Sam Harris', 'Daniel Dennett', 'Stephen Fry - foreword']","['Richard Dawkins', 'Daniel C. Dennett', 'Sam Harris', 'Christopher Hitchens', 'Stephen Fry']"
"Blood for Blood: Ziba MacKenzie, Book 1",['Victoria Selman'],['Karen Cass']
The Uninhabitable Earth: Life After Warming,['David Wallace-Wells'],['David Wallace-Wells']
The Silkworm,['Robert Galbraith'],['Robert Glenister']
A Royal Pain,['Rhys Bowen'],['Katherine Kellgren']
Red Sparrow: A Novel,['Jason Matthews'],['Jeremy Bobb']
The Last Days of August,['Jon Ronson'],['Jon Ronson']
Scientific American,['Scientific American'],['Jef Holbrook']
The Fifth Risk,['Michael Lewis'],['Victor Bevine']
The Labyrinth of the Spirits: A Novel,['Carlos Ruiz Zaf�n'],['Daniel Weyman']
The Witch Elm: A Novel,['Tana French'],['Paul Nugent']
21 Lessons for the 21st Century,['Yuval Noah Harari'],['Derek Perkins']
"Kingdom of the Blind: A Chief Inspector Gamache Novel, Book 14",['Louise Penny'],['Robert Bathurst']
"Christmas Eve, 1914",['Charles Olivier'],"['Cameron Daddo', 'Xander Berkeley', 'Cody Fern', 'Damon Herriman', 'James Scott', 'John Beck', 'Lance Guest', 'Gabe Greenspan', 'Nate Jones']"
"The Road to Unfreedom: Russia, Europe, America",['Timothy Snyder'],['Timothy Snyder']
The Fifth Witness,['Michael Connelly'],['Peter Giles']
The Street Lawyer: A Novel,['John Grisham'],['Frank Muller']
Gray Mountain: A Novel,['John Grisham'],['Catherine Taber']
The Iliad: The Fitzgerald Translation,"['Homer', 'Robert Fitzgerald - translator']",['Dan Stevens']
After Anatevka: Live,['Alexandra Silber'],"['Ellie Fishman', 'Kerstin Anderson', 'Sheldon Harnick', 'Ben Moss', 'Matthew Scott', 'Alexandra Silber', 'Samantha Massell']"
Lullaby,['Jonathan Maberry'],['Scott Brick']
"The Next Girl: Detective Gina Harte, Book 1",['Carla Kovach'],['Tamsin Kennard']
The Guns of August,['Barbara W. Tuchman'],['Wanda McCaddon']
Foreign Affairs,['Foreign Affairs'],['Kevin Stillwell']
Discrimination and Disparities,['Thomas Sowell'],['Robertson Dean']
"Orphan X: Evan Smoak, Book 1",['Gregg Hurwitz'],['Scott Brick']
Political Order and Political Decay: From the Industrial Revolution to the Globalization of Democracy,['Francis Fukuyama'],['Jonathan Davis']
The Tuscan Child,['Rhys Bowen'],"['Jonathan Keeble', 'Katy Sobey']"
